claim_status,verified_status,author_ban_status,like_rate,share_rate,download_rate,comment_rate
claim,not verified,under review,0.05658382270693512,0.0007020180835197614,2.912938105891126e-06,0.0
claim,not verified,active,0.5490960199322813,0.13511077038835295,0.008241231712770716,0.004855299303647863
claim,not verified,active,0.10828156087720368,0.003167864684072557,0.0009233139544550176,0.0003646702173057632
claim,not verified,active,0.5484587639940938,0.07956919447961856,0.00282053274697947,0.0013348388364959566
claim,not verified,active,0.6229102497908025,0.07317463991311625,0.009738814606441505,0.0027062153933804546
claim,not verified,under review,0.5214542235635548,0.18506922681621996,0.012752230080767094,0.005516163815510015
claim,not verified,active,0.6479579393478999,0.25842912260360235,0.011482717949743117,0.0072579946557916695
claim,not verified,active,0.0019578764346193465,9.131886355500684e-05,4.0180299964203004e-05,2.0090149982101502e-05
claim,not verified,active,0.4093637938676014,0.04230629759458479,0.002135460735726661,0.0010878762238607518
claim,verified,active,0.18361248063787924,0.07271355225008506,0.004405385648361345,0.0027265301040053157
claim,not verified,active,0.34217362116378996,0.03315215750652995,0.00247110219207896,0.0005433837281011326
claim,not verified,active,0.34873642764383483,0.040398634155246596,0.006808478858864092,0.0011036291142339112
claim,not verified,active,0.62073531491356,0.13997665984364666,0.0034396019889127117,0.0020154810657623903
claim,not verified,under review,0.5348435222682951,0.1666338598557576,0.0013176506020856527,0.0008658846813705718
claim,not verified,active,0.25321185492157217,0.08695401667251723,0.0019920382488415344,0.0010242939040642062
claim,not verified,active,0.0002586486479242441,3.886430461037865e-05,2.680296869681286e-06,0.0
claim,not verified,active,0.07336239053441632,0.019187286770306185,0.0009154860147322826,0.0005807106554988207
claim,not verified,active,0.08645462281538245,0.005995270492749657,0.0010583662246473181,0.0006991631423427738
claim,not verified,active,0.6242511595904955,0.2249724189472935,0.010219818024366228,0.004116397973830623
claim,not verified,active,0.08176926000760197,0.008962330205853523,0.0008482205373397083,0.0002800728189329226
claim,not verified,active,0.055479328825153246,0.012183353657096023,0.00046887011389182184,0.00015992469000961366
claim,not verified,active,0.31822994232752566,0.05233967854493932,0.004906172148519831,0.002510817258297145
claim,not verified,banned,0.5698382587859425,0.1887812832800852,0.0036441693290734825,0.001281283280085197
claim,not verified,active,0.1814414428810747,0.036113308351377334,0.0035115894436587645,0.0016059828854958172
claim,not verified,active,0.11264213139131861,0.029398793402728697,0.0005117012795359067,0.00015266226019303294
claim,not verified,active,0.5693977603490489,0.07775940054657443,0.004752391510114393,0.0022408365789894896
claim,not verified,under review,0.15672404307160262,0.05704236422227462,0.0024561817181482353,0.0015326573921244989
claim,not verified,under review,0.40522821086230504,0.004328519215423566,0.006403499266060469,0.0013644379205374998
claim,not verified,active,0.4906196752992897,0.1445161575853243,0.008159562148247044,0.00351992682800894
claim,not verified,active,0.28174320196978053,0.04948669994483538,0.003686611143253098,0.0008476514672443254
claim,not verified,active,0.5649395485407607,0.2195763690067269,0.008259548959230574,0.005087896107881532
claim,not verified,banned,0.6019058138207346,0.18407378988256598,0.005469457328940067,0.0007381112317695819
claim,not verified,active,0.5209596460154357,0.08316207454393156,0.005465787673203701,0.0028646149714497636
claim,not verified,active,0.4739953451345718,0.15265892476254717,0.004876062688762085,0.002497584452992544
claim,not verified,active,0.31915223880597016,0.06643820895522388,0.005700298507462687,0.0004919402985074627
